title,img_link
Jurassic Park (1993),https://posters.movieposterdb.com/05_08/1993/0107290/s_45298_0107290_be4e0db3.jpg
Mrs. Doubtfire (1993),https://posters.movieposterdb.com/09_08/1993/107614/s_107614_6a2511a2.jpg
Schindler's List (1993),https://posters.movieposterdb.com/08_02/1993/108052/s_108052_6ad6d11e.jpg
So I Married an Axe Murderer (1993),https://posters.movieposterdb.com/09_10/1993/108174/s_108174_5737c9ff.jpg
"Three Musketeers, The (1993)",https://posters.movieposterdb.com/06_07/1973/0072281/s_123440_0072281_44e49f88.jpg
Tombstone (1993),https://posters.movieposterdb.com/08_08/1993/108358/s_108358_1ea1616c.jpg
Dances with Wolves (1990),https://posters.movieposterdb.com/07_12/1990/99348/s_99348_3a7a4aa1.jpg
Batman (1989),https://posters.movieposterdb.com/21_05/1989/96895/s_96895_af2cb015.jpg
"Silence of the Lambs, The (1991)",https://posters.movieposterdb.com/11_11/2011/1526332/s_1526332_2345ad1b.jpg
Pinocchio (1940),https://posters.movieposterdb.com/20_01/2021/1488589/s_1488589_fc41a90f.jpg
Fargo (1996),https://posters.movieposterdb.com/06_08/1996/0116282/s_128745_0116282_126d6758.jpg
Mission: Impossible (1996),https://posters.movieposterdb.com/12_06/1996/117060/s_117060_902b1753.jpg
James and the Giant Peach (1996),https://posters.movieposterdb.com/12_10/1996/116683/s_116683_2b87ce64.jpg
Space Jam (1996),https://posters.movieposterdb.com/12_12/1996/117705/s_117705_b48919f4.jpg
"Rock, The (1996)",https://posters.movieposterdb.com/22_05/2015/4270020/s_4270020_85eb7346.jpg
Twister (1996),https://posters.movieposterdb.com/09_01/1996/117998/s_117998_e03cd212.jpg
Independence Day (a.k.a. ID4) (1996),https://posters.movieposterdb.com/05_11/1996/0116629/s_69730_0116629_ca001889.jpg
"Wizard of Oz, The (1939)",https://posters.movieposterdb.com/12_02/1996/116178/s_116178_d7cb76b8.jpg
Citizen Kane (1941),https://posters.movieposterdb.com/08_05/1941/33467/s_33467_2c2a6d64.jpg
"Sword in the Stone, The (1963)",https://posters.movieposterdb.com/09_02/1991/102917/s_102917_cac7573a.jpg
Dumbo (1941),https://posters.movieposterdb.com/20_09/2019/3861390/s_3861390_16fabf1d.jpg
Bedknobs and Broomsticks (1971),https://posters.movieposterdb.com/14_08/1971/66817/s_66817_75cb815b.jpg
Alice in Wonderland (1951),https://posters.movieposterdb.com/13_02/1986/421576/s_421576_ad7a2907.jpg
That Thing You Do! (1996),https://posters.movieposterdb.com/13_06/1996/117887/s_117887_b953438e.jpg
"Ghost and the Darkness, The (1996)",https://posters.movieposterdb.com/09_08/1954/47595/s_47595_7df7b1da.jpg
Swingers (1996),https://posters.movieposterdb.com/19_12/2016/6016012/s_6016012_41783eb6.jpg
Willy Wonka & the Chocolate Factory (1971),https://posters.movieposterdb.com/08_12/1971/67992/s_67992_7fed0770.jpg
Monty Python's Life of Brian (1979),https://posters.movieposterdb.com/11_07/1979/79470/s_79470_4ba36566.jpg
Reservoir Dogs (1992),https://posters.movieposterdb.com/14_11/1992/105236/s_105236_ecfac57d.jpg
Platoon (1986),https://posters.movieposterdb.com/08_12/1986/91763/s_91763_cfdaeb2f.jpg
Basic Instinct (1992),https://posters.movieposterdb.com/08_12/1992/103772/s_103772_e73cdb24.jpg
E.T. the Extra-Terrestrial (1982),https://posters.movieposterdb.com/12_03/1982/83866/s_83866_2943e12e.jpg
"Abyss, The (1989)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
Monty Python and the Holy Grail (1975),https://posters.movieposterdb.com/13_12/1975/71853/s_71853_0c1d9dd2.jpg
Star Wars: Episode V - The Empire Strikes Back (1980),https://posters.movieposterdb.com/20_09/1980/80684/s_80684_931daf60.jpg
"Princess Bride, The (1987)",https://posters.movieposterdb.com/09_02/1952/191383/s_191383_baa2c1a7.jpg
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),https://posters.movieposterdb.com/08_03/2008/367882/s_367882_92f3d871.jpg
"Clockwork Orange, A (1971)",https://posters.movieposterdb.com/10_08/2001/832449/s_832449_c087db8c.jpg
Apocalypse Now (1979),https://posters.movieposterdb.com/08_05/1979/78788/s_78788_600da6a4.jpg
Star Wars: Episode VI - Return of the Jedi (1983),https://posters.movieposterdb.com/21_03/1977/76759/s_76759_cae5a41d.jpg
Goodfellas (1990),https://posters.movieposterdb.com/05_05/1990/0099685/s_18396_0099685_44b2087e.jpg
Alien (1979),https://posters.movieposterdb.com/22_02/2017/7331364/s_7331364_ce2cd94c.jpg
Psycho (1960),https://posters.movieposterdb.com/21_11/2020/9109976/s_9109976_20ab6822.jpg
"Blues Brothers, The (1980)",https://posters.movieposterdb.com/12_03/1986/91035/s_91035_e9f8ad59.jpg
Full Metal Jacket (1987),https://posters.movieposterdb.com/21_03/1987/93058/s_93058_79bb906f.jpg
"Terminator, The (1984)",https://posters.movieposterdb.com/14_05/2008/851851/s_851851_112bcb39.jpg
Duck Soup (1933),https://posters.movieposterdb.com/12_03/1927/17836/s_17836_a128a832.jpg
"Shining, The (1980)",https://posters.movieposterdb.com/21_11/2019/9106126/s_9106126_2ec4517a.jpg
Groundhog Day (1993),https://posters.movieposterdb.com/12_04/1993/107048/s_107048_384acfa9.jpg
Back to the Future (1985),https://posters.movieposterdb.com/12_11/1993/101042/s_101042_3cbbfa69.jpg
Highlander (1986),https://posters.movieposterdb.com/14_06/1992/103442/s_103442_4b52012c.jpg
Young Frankenstein (1974),https://posters.movieposterdb.com/08_03/1974/72431/s_72431_666189f6.jpg
Fantasia (1940),https://posters.movieposterdb.com/14_01/1940/32455/s_32455_9f240b3b.jpg
Indiana Jones and the Last Crusade (1989),https://posters.movieposterdb.com/06_08/1989/0097576/s_128757_0097576_903dcfd5.jpg
Pink Floyd: The Wall (1982),https://posters.movieposterdb.com/08_03/1982/84503/s_84503_e401a0df.jpg
Batman Returns (1992),https://posters.movieposterdb.com/08_03/1992/103776/s_103776_25c41545.jpg
Sneakers (1992),https://posters.movieposterdb.com/06_10/1992/0105435/s_140133_0105435_abde6a8a.jpg
"Last of the Mohicans, The (1992)",https://posters.movieposterdb.com/09_09/2009/1370372/s_1370372_ae27c0e2.jpg
Grosse Pointe Blank (1997),https://posters.movieposterdb.com/06_01/1997/0119229/s_79986_0119229_2e3d47a3.jpg
Austin Powers: International Man of Mystery (1997),https://posters.movieposterdb.com/07_11/1997/118655/s_118655_5aef4505.jpg
Con Air (1997),https://posters.movieposterdb.com/05_03/1997/0118880/s_10024_0118880_ee5b49a1.jpg
Face/Off (1997),https://posters.movieposterdb.com/08_09/1997/119094/s_119094_3e1706d4.jpg
Men in Black (a.k.a. MIB) (1997),https://posters.movieposterdb.com/15_03/1970/65932/s_65932_5334d556.jpg
Conan the Barbarian (1982),https://posters.movieposterdb.com/11_08/2011/816462/s_816462_6895762f.jpg
L.A. Confidential (1997),https://posters.movieposterdb.com/13_03/1997/119488/s_119488_95c2f161.jpg
"Game, The (1997)",https://posters.movieposterdb.com/22_05/2017/9730542/s_9730542_a5e09467.jpg
I Know What You Did Last Summer (1997),https://posters.movieposterdb.com/21_11/2021/10937180/s_10937180_0b78a2c0.jpg
Starship Troopers (1997),https://posters.movieposterdb.com/07_12/1997/120201/s_120201_71ad73bd.jpg
"Big Lebowski, The (1998)",https://posters.movieposterdb.com/12_08/1957/50774/s_50774_5b9ce60e.jpg
"Wedding Singer, The (1998)",https://posters.movieposterdb.com/09_07/1983/87763/s_87763_922045b4.jpg
Wild Things (1998),https://posters.movieposterdb.com/09_01/1998/120890/s_120890_0050b0c5.jpg
Rocky (1976),https://posters.movieposterdb.com/22_02/2021/11772600/s_11772600_20bb32ff.jpg
Labyrinth (1986),https://posters.movieposterdb.com/21_11/2019/11576058/s_11576058_87b14857.jpg
Lethal Weapon (1987),https://posters.movieposterdb.com/21_11/2016/5164196/s_5164196_f84f4c10.jpg
"Goonies, The (1985)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
Back to the Future Part III (1990),https://posters.movieposterdb.com/21_06/1990/99088/s_99088_b8bc7faa.jpg
Bambi (1942),https://posters.movieposterdb.com/11_11/1942/34492/s_34492_a1c92e36.jpg
Saving Private Ryan (1998),https://posters.movieposterdb.com/07_10/1998/120815/s_120815_e70398d8.jpg
Flight of the Navigator (1986),https://posters.movieposterdb.com/08_02/1986/91059/s_91059_2047b4ea.jpg
"Honey, I Shrunk the Kids (1989)",https://posters.movieposterdb.com/06_02/1989/0097523/s_87745_0097523_8cd27ace.jpg
"Negotiator, The (1998)",https://posters.movieposterdb.com/10_08/2010/1478965/s_1478965_f91872f7.jpg
"Jungle Book, The (1967)",https://posters.movieposterdb.com/13_04/1989/283750/s_283750_cb98f813.jpg
"Rocketeer, The (1991)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
Sleeping Beauty (1959),https://posters.movieposterdb.com/22_04/2000/1075398/s_1075398_c56dcdc1.jpg
Tron (1982),https://posters.movieposterdb.com/21_01/2010/1104001/s_1104001_8ec585c5.jpg
Indiana Jones and the Temple of Doom (1984),https://posters.movieposterdb.com/10_10/1984/87469/s_87469_bae62d09.jpg
Charlotte's Web (1973),https://posters.movieposterdb.com/08_06/1973/70016/s_70016_a68fab4c.jpg
"Secret of NIMH, The (1982)",https://posters.movieposterdb.com/09_09/1986/90638/s_90638_26e7a39e.jpg
"NeverEnding Story, The (1984)",https://posters.movieposterdb.com/09_06/2001/271308/s_271308_41730364.jpg
Beetlejuice (1988),https://posters.movieposterdb.com/21_10/1988/94721/s_94721_922f39c1.jpg
Willow (1988),https://posters.movieposterdb.com/08_03/1988/96446/s_96446_05943220.jpg
"Few Good Men, A (1992)",https://posters.movieposterdb.com/14_10/2014/3060492/s_3060492_5e6efee0.jpg
Rush Hour (1998),https://posters.movieposterdb.com/09_03/1998/120812/s_120812_7c079c3e.jpg
Edward Scissorhands (1990),https://posters.movieposterdb.com/13_04/1990/99487/s_99487_4dc57c60.jpg
American History X (1998),https://posters.movieposterdb.com/06_01/1998/0120586/s_85025_0120586_a96974a4.jpg
Enemy of the State (1998),https://posters.movieposterdb.com/09_06/1998/120660/s_120660_8e72751a.jpg
King Kong (1933),https://posters.movieposterdb.com/13_01/1976/74751/s_74751_2ccaf983.jpg
Rushmore (1998),https://posters.movieposterdb.com/09_02/1998/128445/s_128445_47a9c8c5.jpg
Romancing the Stone (1984),https://posters.movieposterdb.com/10_03/1984/88011/s_88011_2d3b5e33.jpg
"Thin Red Line, The (1998)",https://posters.movieposterdb.com/09_06/1957/50993/s_50993_578a33ef.jpg
Crocodile Dundee (1986),https://posters.movieposterdb.com/07_11/1986/90555/s_90555_fd14d375.jpg
¡Three Amigos! (1986),https://posters.movieposterdb.com/08_07/1986/92086/s_92086_e90cd0ec.jpg
Office Space (1999),https://posters.movieposterdb.com/10_10/1999/151804/s_151804_f21da0a3.jpg
Logan's Run (1976),https://posters.movieposterdb.com/14_02/1978/75527/s_75527_a804cf6c.jpg
Planet of the Apes (1968),https://posters.movieposterdb.com/07_12/1974/71033/s_71033_d8d80d94.jpg
"Lock, Stock & Two Smoking Barrels (1998)",https://posters.movieposterdb.com/12_07/2000/243714/s_243714_17ebe345.jpg
"Matrix, The (1999)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
Go (1999),https://posters.movieposterdb.com/06_09/2001/0299937/s_135245_0299937_6f104ec2.jpg
Dick Tracy (1990),https://posters.movieposterdb.com/06_04/1990/0099422/s_108667_0099422_52cada2e.jpg
"Mummy, The (1999)",https://posters.movieposterdb.com/08_05/2001/281471/s_281471_89f0fd5e.jpg
Star Wars: Episode I - The Phantom Menace (1999),https://posters.movieposterdb.com/12_10/1999/120915/s_120915_9275ff24.jpg
Superman (1978),https://posters.movieposterdb.com/07_10/1978/78346/s_78346_86844d1b.jpg
Superman II (1980),https://posters.movieposterdb.com/12_11/1980/81573/s_81573_bb53dea1.jpg
"Rocky Horror Picture Show, The (1975)",https://posters.movieposterdb.com/09_04/1975/73629/s_73629_d6f3eac8.jpg
Run Lola Run (Lola rennt) (1998),https://posters.movieposterdb.com/05_02/1998/0130827/s_7012_0130827_c75b85d5.jpg
"South Park: Bigger, Longer and Uncut (1999)",https://posters.movieposterdb.com/13_12/1999/158983/s_158983_fb8d2492.jpg
Ghostbusters (a.k.a. Ghost Busters) (1984),https://posters.movieposterdb.com/09_05/1991/103331/s_103331_f9d90fd5.jpg
"Iron Giant, The (1999)",https://posters.movieposterdb.com/09_08/1954/47595/s_47595_7df7b1da.jpg
Big (1988),https://posters.movieposterdb.com/15_11/1988/94737/s_94737_46fa9655.jpg
"13th Warrior, The (1999)",https://posters.movieposterdb.com/09_02/2009/1282052/s_1282052_7662e611.jpg
American Beauty (1999),https://posters.movieposterdb.com/08_11/1999/169547/s_169547_5bc110bc.jpg
Excalibur (1981),https://posters.movieposterdb.com/08_07/1981/82348/s_82348_3b38a8cc.jpg
Total Recall (1990),https://posters.movieposterdb.com/06_04/1990/0100802/s_107259_0100802_44234b16.jpg
"Dirty Dozen, The (1967)",https://posters.movieposterdb.com/09_03/1987/92891/s_92891_54a7005e.jpg
Goldfinger (1964),https://posters.movieposterdb.com/06_03/1964/0058150/s_102931_0058150_a1094862.jpg
From Russia with Love (1963),https://posters.movieposterdb.com/08_08/1963/57076/s_57076_6f8038bb.jpg
Dr. No (1962),https://posters.movieposterdb.com/08_08/1962/55928/s_55928_c3c65b8f.jpg
Fight Club (1999),https://posters.movieposterdb.com/05_09/1999/0137523/s_53787_0137523_7ccf70c6.jpg
RoboCop (1987),https://posters.movieposterdb.com/13_11/2014/1234721/s_1234721_fb871b15.jpg
Who Framed Roger Rabbit? (1988),https://posters.movieposterdb.com/20_06/2022/1540148/s_1540148_25869732.jpg
Live and Let Die (1973),https://posters.movieposterdb.com/21_11/2015/6162924/s_6162924_5227eef9.jpg
Thunderball (1965),https://posters.movieposterdb.com/09_03/1965/59800/s_59800_cd3c7c89.jpg
Being John Malkovich (1999),https://posters.movieposterdb.com/11_04/1999/120601/s_120601_8cb96352.jpg
Spaceballs (1987),https://posters.movieposterdb.com/06_09/1987/0094012/s_131362_0094012_71ecd589.jpg
Robin Hood (1973),https://posters.movieposterdb.com/09_12/2010/955308/s_955308_0b245ca9.jpg
Dogma (1999),https://posters.movieposterdb.com/05_01/1999/0120655/s_5821_0120655_116ea8b7.jpg
"Green Mile, The (1999)",https://posters.movieposterdb.com/09_07/1960/371415/s_371415_b476d93e.jpg
Easy Rider (1969),https://posters.movieposterdb.com/05_06/1969/0064276/s_22442_0064276_b585ae72.jpg
"Talented Mr. Ripley, The (1999)",https://posters.movieposterdb.com/07_10/1999/134119/s_134119_91f6737c.jpg
Sister Act (1992),https://posters.movieposterdb.com/09_08/1992/105417/s_105417_a223dd9b.jpg
Wayne's World (1992),https://posters.movieposterdb.com/08_05/1992/105793/s_105793_80a48abc.jpg
Scream 3 (2000),https://posters.movieposterdb.com/09_10/2000/134084/s_134084_89555fad.jpg
JFK (1991),https://posters.movieposterdb.com/07_10/1991/102138/s_102138_09432116.jpg
"Good Morning, Vietnam (1987)",https://posters.movieposterdb.com/07_11/1987/93105/s_93105_e7ecbae4.jpg
Grumpy Old Men (1993),https://posters.movieposterdb.com/07_10/1993/107050/s_107050_cccdeff9.jpg
Hook (1991),https://posters.movieposterdb.com/10_09/1991/102057/s_102057_faf53dc8.jpg
Predator (1987),https://posters.movieposterdb.com/21_04/1987/93773/s_93773_bf52b8fc.jpg
Gladiator (2000),https://posters.movieposterdb.com/08_12/2000/172495/s_172495_93f99923.jpg
Road Trip (2000),https://posters.movieposterdb.com/21_11/2020/10916470/s_10916470_b58ca760.jpg
Blazing Saddles (1974),https://posters.movieposterdb.com/15_10/1974/71230/s_71230_3b1fa003.jpg
Mad Max (1979),https://posters.movieposterdb.com/06_05/1979/0079501/s_115184_0079501_5624763d.jpg
"Road Warrior, The (Mad Max 2) (1981)",https://posters.movieposterdb.com/09_01/1981/82694/s_82694_97f8774f.jpg
Big Trouble in Little China (1986),https://posters.movieposterdb.com/07_10/1986/90728/s_90728_02fff46b.jpg
X-Men (2000),https://posters.movieposterdb.com/13_11/2000/120903/s_120903_d45d8a60.jpg
What About Bob? (1991),https://posters.movieposterdb.com/06_02/1991/0103241/s_93768_0103241_6e2a637e.jpg
M*A*S*H (a.k.a. MASH) (1970),https://posters.movieposterdb.com/19_12/2017/2334871/s_2334871_1c2f791e.jpg
"Shawshank Redemption, The (1994)",https://posters.movieposterdb.com/05_03/1994/0111161/s_8494_0111161_3bb8e662.jpg
Good Will Hunting (1997),https://posters.movieposterdb.com/22_04/1997/119217/s_119217_310a8762.jpg
Kill Bill: Vol. 1 (2003),https://posters.movieposterdb.com/08_05/2003/266697/s_266697_d1d415b0.jpg
Collateral (2004),https://posters.movieposterdb.com/09_06/2004/369339/s_369339_bf8df7df.jpg
Talladega Nights: The Ballad of Ricky Bobby (2006),https://posters.movieposterdb.com/06_07/2006/0415306/s_120496_0415306_b36a94d5.jpg
"Departed, The (2006)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
"Dark Knight, The (2008)",https://posters.movieposterdb.com/20_01/2018/10378660/s_10378660_23678139.jpg
Step Brothers (2008),https://posters.movieposterdb.com/08_03/2008/838283/s_838283_5ca47411.jpg
Inglourious Basterds (2009),https://posters.movieposterdb.com/11_03/2009/361748/s_361748_ec32ce84.jpg
Zombieland (2009),https://posters.movieposterdb.com/09_08/2009/1156398/s_1156398_e9efc26c.jpg
Shutter Island (2010),https://posters.movieposterdb.com/09_08/2009/1130884/s_1130884_45b83412.jpg
Inception (2010),https://posters.movieposterdb.com/10_07/2010/1375666/s_1375666_ca452a47.jpg
"Town, The (2010)",https://posters.movieposterdb.com/08_09/2007/849441/s_849441_a51400f4.jpg
"Dark Knight Rises, The (2012)",https://posters.movieposterdb.com/21_06/2012/1345836/s_1345836_429edb63.jpg
"Girl with the Dragon Tattoo, The (2011)",https://posters.movieposterdb.com/13_01/2012/2417650/s_2417650_ae2f3a4c.jpg
Django Unchained (2012),https://posters.movieposterdb.com/21_02/2012/1853728/s_1853728_7fb18a9f.jpg
"Wolf of Wall Street, The (2013)",https://posters.movieposterdb.com/21_11/2018/8557334/s_8557334_a830dfdb.jpg
Interstellar (2014),https://posters.movieposterdb.com/14_09/2014/816692/s_816692_a074ce1f.jpg
Whiplash (2014),https://posters.movieposterdb.com/14_08/2014/2582802/s_2582802_bba7691b.jpg
Ex Machina (2015),https://posters.movieposterdb.com/14_10/2015/470752/s_470752_e1bed4da.jpg
Mad Max: Fury Road (2015),https://posters.movieposterdb.com/15_07/2015/1392190/s_1392190_50142848.jpg
Dangerous Minds (1995),https://posters.movieposterdb.com/09_04/1995/112792/s_112792_5b59e8e0.jpg
Courage Under Fire (1996),https://posters.movieposterdb.com/06_03/1996/0115956/s_94509_0115956_dd492304.jpg
Wallace & Gromit: The Best of Aardman Animation (1996),https://posters.movieposterdb.com/05_10/1997/0119189/s_61758_0119189_73569efd.jpg
Escape from L.A. (1996),https://posters.movieposterdb.com/09_02/1972/61592/s_61592_74423f72.jpg
My Fair Lady (1964),https://posters.movieposterdb.com/09_06/1964/58385/s_58385_e287d012.jpg
"Doors, The (1991)",https://posters.movieposterdb.com/10_07/1991/195660/s_195660_ebd4a412.jpg
"Deer Hunter, The (1978)",https://posters.movieposterdb.com/11_08/1976/74565/s_74565_bda5456a.jpg
Patton (1970),https://posters.movieposterdb.com/08_06/1970/66206/s_66206_a57f0f46.jpg
Field of Dreams (1989),https://posters.movieposterdb.com/07_12/1989/97351/s_97351_f8fb3ca0.jpg
Star Trek: The Motion Picture (1979),https://posters.movieposterdb.com/07_10/1979/79945/s_79945_ca5da66c.jpg
Lady and the Tramp (1955),https://posters.movieposterdb.com/20_01/2019/8096832/s_8096832_98c9e5d2.jpg
"Thing, The (1982)",https://posters.movieposterdb.com/11_09/2011/905372/s_905372_54ef8c60.jpg
You've Got Mail (1998),https://posters.movieposterdb.com/09_10/1998/128853/s_128853_6a049d7a.jpg
Fast Times at Ridgemont High (1982),https://posters.movieposterdb.com/14_02/1982/83929/s_83929_60e7d25a.jpg
Requiem for a Dream (2000),https://posters.movieposterdb.com/08_04/2000/180093/s_180093_51a27c05.jpg
2012 (2009),https://posters.movieposterdb.com/09_09/2009/1190080/s_1190080_0acf686a.jpg
Get Shorty (1995),https://posters.movieposterdb.com/20_01/2017/5761496/s_5761496_6f0c8649.jpg
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),https://posters.movieposterdb.com/14_12/2014/3148266/s_3148266_281c607c.jpg
To Die For (1995),https://posters.movieposterdb.com/10_11/1988/98482/s_98482_44d52067.jpg
Mighty Aphrodite (1995),https://posters.movieposterdb.com/08_06/1995/113819/s_113819_e594c5db.jpg
"Postman, The (Postino, Il) (1994)",https://posters.movieposterdb.com/09_09/1958/52744/s_52744_de05bcb2.jpg
Before Sunrise (1995),https://posters.movieposterdb.com/15_05/2014/4224638/s_4224638_839fb743.jpg
Heavenly Creatures (1994),https://posters.movieposterdb.com/06_04/1994/0110005/s_103949_0110005_1d780041.jpg
Like Water for Chocolate (Como agua para chocolate) (1992),https://posters.movieposterdb.com/06_09/1992/0103994/s_131105_0103994_ea3af2d7.jpg
Muriel's Wedding (1994),https://posters.movieposterdb.com/08_05/1994/110598/s_110598_16703ae5.jpg
"Adventures of Priscilla, Queen of the Desert, The (1994)",https://posters.movieposterdb.com/11_12/2011/1980263/s_1980263_4af926b9.jpg
Bullets Over Broadway (1994),https://posters.movieposterdb.com/05_11/1994/0109348/s_68984_0109348_9962bde4.jpg
Four Weddings and a Funeral (1994),https://posters.movieposterdb.com/21_11/2019/7587362/s_7587362_cbead28b.jpg
Maverick (1994),https://posters.movieposterdb.com/07_10/1994/110478/s_110478_380cbe18.jpg
In the Name of the Father (1993),https://posters.movieposterdb.com/08_05/1993/107207/s_107207_f29fa17f.jpg
"Piano, The (1993)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
Sleepless in Seattle (1993),https://posters.movieposterdb.com/08_09/1993/108160/s_108160_b7af786d.jpg
Aladdin (1992),https://posters.movieposterdb.com/05_06/1992/0103639/s_22281_0103639_b4ac3fe0.jpg
Beauty and the Beast (1991),https://posters.movieposterdb.com/21_07/2018/9173998/s_9173998_ac06ab34.jpg
"Truth About Cats & Dogs, The (1996)",https://posters.movieposterdb.com/07_11/1996/117979/s_117979_df6b4f4b.jpg
"Philadelphia Story, The (1940)",https://posters.movieposterdb.com/13_05/2012/2039399/s_2039399_211c7e18.jpg
Singin' in the Rain (1952),https://posters.movieposterdb.com/06_08/1952/0045152/s_128383_0045152_613623c2.jpg
Breakfast at Tiffany's (1961),https://posters.movieposterdb.com/08_03/1961/54698/s_54698_69fffa5d.jpg
Rear Window (1954),https://posters.movieposterdb.com/08_03/1998/166322/s_166322_2ccfc76e.jpg
North by Northwest (1959),https://posters.movieposterdb.com/08_07/1959/53125/s_53125_aebc1bdb.jpg
Some Like It Hot (1959),https://posters.movieposterdb.com/13_09/1939/31950/s_31950_39614ca0.jpg
Casablanca (1942),https://posters.movieposterdb.com/21_04/1983/84994/s_84994_39b61adf.jpg
Gone with the Wind (1939),https://posters.movieposterdb.com/07_11/1939/31381/s_31381_035f678b.jpg
Sleeper (1973),https://posters.movieposterdb.com/21_11/2015/5169904/s_5169904_68d411c6.jpg
"Fish Called Wanda, A (1988)",https://posters.movieposterdb.com/13_11/1988/95159/s_95159_d74c4ffb.jpg
Bonnie and Clyde (1967),https://posters.movieposterdb.com/08_05/1967/61418/s_61418_7ff418a5.jpg
Dial M for Murder (1954),https://posters.movieposterdb.com/06_06/1954/0046912/s_118795_0046912_714bc1ab.jpg
"Crying Game, The (1992)",https://posters.movieposterdb.com/11_10/2004/464780/s_464780_b1186778.jpg
"Grifters, The (1990)",https://posters.movieposterdb.com/09_09/2009/1483811/s_1483811_4585ba11.jpg
"English Patient, The (1996)",https://posters.movieposterdb.com/10_03/2007/1200060/s_1200060_6089b9cf.jpg
Strictly Ballroom (1992),https://posters.movieposterdb.com/13_03/1992/105488/s_105488_7dd976d9.jpg
Brazil (1985),https://posters.movieposterdb.com/06_06/1985/0088846/s_119646_0088846_96868df8.jpg
12 Angry Men (1957),https://posters.movieposterdb.com/10_12/1997/118528/s_118528_f484887b.jpg
Amadeus (1984),https://posters.movieposterdb.com/21_12/1984/86879/s_86879_2e87a3a0.jpg
"Bridge on the River Kwai, The (1957)",https://posters.movieposterdb.com/12_09/1968/61591/s_61591_08651cab.jpg
Stand by Me (1986),https://posters.movieposterdb.com/05_11/1986/0092005/s_65515_0092005_b739aba4.jpg
Unforgiven (1992),https://posters.movieposterdb.com/10_10/2009/1315063/s_1315063_59394646.jpg
This Is Spinal Tap (1984),https://posters.movieposterdb.com/08_03/1984/88258/s_88258_a5e471be.jpg
Butch Cassidy and the Sundance Kid (1969),https://posters.movieposterdb.com/06_10/1969/0064115/s_136675_0064115_ed3cb17f.jpg
Mars Attacks! (1996),https://posters.movieposterdb.com/08_08/1996/116996/s_116996_957d20b1.jpg
